,name,# batches,total eps,func L2,approx err,priv err,priv loss,smooth err,smooth loss,approx time,priv time,smooth time,total runtime,baseline priv err,baseline runtime
424,ickguwa,24,0.24,6631260.242013449,4616819.927498978,4741047.359286239,972430.3351567355,7245091.195882394,5554435.044405804,2.307903289794922,0.0011277728610568577,0.1476658715142144,2.456696934170193,433982302551.30707,0.4229118426640829
425,uljior,17,0.17,30324018.81544753,3940956.6742378925,4033475.704158232,787904.4661583571,6021452.910856391,4524052.070056897,1.8238592147827148,0.0008478959401448568,0.13816217581431076,1.9628692865371704,333814643089.6426,0.2983483341005113
426,uttorhig,22,0.22,5216845.847112602,4016694.0020549283,4138257.9695502226,916696.9274879775,6549948.416212326,5103566.54308833,2.17423152923584,0.0010384188758002387,0.13834133413102892,2.313611282242669,409061639213.208,0.39523551199171275
427,iatmeuns,14,0.14,18067128.533447433,4681552.522478925,4809872.06761437,1019613.5566591013,12460833.99159007,11403439.007140573,2.3626389503479004,0.0011046462588840062,0.31603141625722253,2.679775012864007,327452481811.5708,0.25078384081522626
428,ecdiwovu,25,0.25,6079333.306147928,4763761.957932617,4932290.120041255,1145927.8507580932,7361529.464474648,5584529.280501428,2.4047224521636963,0.001246770222981771,0.19034846623738608,2.5963176886240644,445489231827.5025,0.4340253141191272
429,ikujfurk,21,0.21,7830047.762620481,4352048.7483667405,4466609.527966452,913052.5910748753,7107967.549956182,5581828.440483214,2.178744077682495,0.0010312928093804254,0.15649749173058405,2.33627286222246,404672321447.91614,0.3774845865037706
430,ijcoga,25,0.25,6274618.964732995,4631675.256140313,4758553.864627015,987644.5336025574,7716415.30497258,6108404.611533876,2.382957696914673,0.001169111993577745,0.14923262596130368,2.5333594348695545,446728727510.1209,0.4447141355938381
431,uthomoov,20,0.2,2550932.641898253,3869003.382915262,3997430.093544432,962750.8149621342,6108139.415520569,4708612.771618096,2.151829242706299,0.0009718736012776693,0.14357777436574304,2.29637889067332,392704509481.4585,0.36188688543107767
432,eavcaifo,24,0.24,7492846.178412402,4166710.149117023,4316871.502304983,1051642.8441963296,7077520.732819435,5634125.237532425,2.388007879257202,0.0011337995529174805,0.15606971581776935,2.545211394627889,436987321687.902,0.41921790440877277
433,adkavy,20,0.2,7467115.693268229,4657330.920147701,4784291.981737156,1016680.0608786579,11459633.987515876,10234439.088112878,2.062831401824951,0.0010216633478800454,0.18026063177320692,2.244113696946038,394242587325.53345,0.34485014279683435
434,itquirla,25,0.25,6263818.707294537,4493429.52454875,4650911.537556152,1065876.8901017383,7109433.774530419,5499911.935325097,2.294802665710449,0.0011812316046820746,0.1599567201402452,2.4559406174553766,435783858891.3795,0.4509363836712308
435,eokracy,25,0.25,6983706.503993903,4605166.537710557,4765464.792427278,1117880.0048567012,8857138.10982241,7443771.773932071,2.529890775680542,0.0011976957321166992,0.16713106632232666,2.6982195377349854,443691707754.162,0.4510421223110623
436,edeejdru,27,0.27,6387820.880718356,5893070.384623815,6017409.46429607,1123631.2963973265,12800150.667636752,11190184.061968511,2.4098103046417236,0.0012696186701456702,0.16792074839274085,2.57900067170461,464240349904.6524,0.47494845920138884
437,ejshigib,30,0.3,6762554.536168216,5297630.239850774,5454646.923262226,1130732.9393188192,8701786.337823216,6835156.362465422,2.7416701316833496,0.0013799137539333766,0.17256044016944044,2.9156104856067233,498014186054.2962,0.5291128423478868
438,iphespha,15,0.15,6331158.2281576255,4797788.5911494205,4887403.454095295,864035.6862044334,7901279.552503823,6265713.875015453,1.9299695491790771,0.0008314980400933159,0.16638743877410891,2.0971884859932794,337786818845.64276,0.26971864700317383
